url	league_name
241	SPAIN PRIMERA DIVISION
11	ENGLISH PREMIER LEAGUE
5	ENGLISH PREMIER LEAGUE
243	SPAIN PRIMERA DIVISION
1	ENGLISH PREMIER LEAGUE
9	ENGLISH PREMIER LEAGUE
22	GERMAN 1. BUNDESLIGA
21	GERMAN 1. BUNDESLIGA
10	ENGLISH PREMIER LEAGUE
73	FRENCH LIGUE 1
245	HOLLAND EREDIVISIE
240	SPAIN PRIMERA DIVISION
191	AUSTRIAN FOOTBALL BUNDESLIGA
44	ITALIAN SERIE A
47	ITALIAN SERIE A
45	ITALIAN SERIE A
18	ENGLISH PREMIER LEAGUE
112172	GERMAN 1. BUNDESLIGA
1943	ENGLISH PREMIER LEAGUE
48	ITALIAN SERIE A
7	ENGLISH PREMIER LEAGUE
32	GERMAN 1. BUNDESLIGA
52	ITALIAN SERIE A
34	GERMAN 1. BUNDESLIGA
95	ENGLISH PREMIER LEAGUE
461	SPAIN PRIMERA DIVISION
110	ENGLISH PREMIER LEAGUE
66	FRENCH LIGUE 1
19	ENGLISH PREMIER LEAGUE
110374	ITALIAN SERIE A
247	HOLLAND EREDIVISIE
1792	ENGLISH PREMIER LEAGUE
449	SPAIN PRIMERA DIVISION
1824	GERMAN 1. BUNDESLIGA
38	GERMAN 1. BUNDESLIGA
234	PORTUGUESE LIGA ZON SAGRES
481	SPAIN PRIMERA DIVISION
69	FRENCH LIGUE 1
219	FRENCH LIGUE 1
2	ENGLISH PREMIER LEAGUE
13	ENGLISH PREMIER LEAGUE
110679	GERMAN 3. BUNDESLIGA
236	PORTUGUESE LIGA ZON SAGRES
74	FRENCH LIGUE 1
237	PORTUGUESE LIGA ZON SAGRES
65	FRENCH LIGUE 1
17	ENGLISH PREMIER LEAGUE
39	ITALIAN SERIE A
23	GERMAN 1. BUNDESLIGA
50	ITALIAN SERIE A
457	SPAIN PRIMERA DIVISION
325	TURKISH SÜPER LIG
28	GERMAN 2. BUNDESLIGA
10029	GERMAN 1. BUNDESLIGA
175	GERMAN 1. BUNDESLIGA
326	TURKISH SÜPER LIG
190	ITALIAN SERIE A
448	SPAIN PRIMERA DIVISION
8	ENGLISH LEAGUE CHAMPIONSHIP
1799	ENGLISH PREMIER LEAGUE
1795	ENGLISH PREMIER LEAGUE
166	GERMAN 1. BUNDESLIGA
211	CROATIAN PRVA HNL
46	ITALIAN SERIE A
1794	ENGLISH PREMIER LEAGUE
144	ENGLISH LEAGUE CHAMPIONSHIP
36	GERMAN 2. BUNDESLIGA
1842	ITALIAN SERIE A
327	TURKISH SÜPER LIG
113926	ENGLISH LEAGUE TWO
78	SCOTTISH PREMIERSHIP
72	FRENCH LIGUE 1
229	BELGIAN JUPILER PRO LEAGUE
1879	MEXICAN LIGA MX
1877	ARGENTINA PRIMERA DIVISIÓN
483	SPAIN PRIMERA DIVISION
105035	INTERNATIONAL
31	GERMAN 1. BUNDESLIGA
101088	ARGENTINA PRIMERA DIVISIÓN
1370	INTERNATIONAL
1808	ENGLISH PREMIER LEAGUE
1335	INTERNATIONAL
452	SPAIN PRIMERA DIVISION
169	GERMAN 1. BUNDESLIGA
246	HOLLAND EREDIVISIE
450	SPAIN PRIMERA DIVISION
25	GERMAN 1. BUNDESLIGA
110556	ITALIAN SERIE A
1337	INTERNATIONAL
462	SPAIN PRIMERA DIVISION
91	ENGLISH LEAGUE CHAMPIONSHIP
1876	ARGENTINA PRIMERA DIVISIÓN
436	TURKISH SÜPER LIG
1880	MEXICAN LIGA MX
453	SPAIN PRIMERA DIVISION
1806	ENGLISH LEAGUE CHAMPIONSHIP
1790	ENGLISH LEAGUE ONE
1819	FRENCH LIGUE 1
1796	ENGLISH PREMIER LEAGUE
110636	GERMAN 1. BUNDESLIGA
1386	INTERNATIONAL
189	ITALIAN SERIE A
1318	INTERNATIONAL
71	FRENCH LIGUE 1
14	ENGLISH LEAGUE CHAMPIONSHIP
101059	UKRAINIAN PREMIER LEAGUE
1362	INTERNATIONAL
54	ITALIAN SERIE A
106	ENGLISH LEAGUE ONE
